Genus,Latitude.2,Longitude.2,mesh.size.category,Land.use,LandCat,Leaf.condition,kd,pred_kd,ln_kd,ln_pred_kd,Average.of.nn.dists,N_Leaf_Mn,N_Leaf_Med,P_Leaf_Mn,P_Leaf_Med,NtoP_Leaf_Mn,NtoP_Leaf_Med,Thick_Mn,Thick_Med,C_Leaf_Mn,C_Leaf_Med,CtoN_Leaf_Mn,CtoN_Leaf_Med,Ca_Leaf_Mn,Ca_Leaf_Med,N_Litter_Mn,N_Litter_Med,CtoN_Litter_Mn,C_Litter_Mn,P_Litter_Mn,Lignin_Litter_Mn,Cellulose_Litter_Mn
Acacia,-37.5,145.02,coarse,pasture,Human,green,0.019125,0.030171356,-3.956758899,-3.500862282,0.469089128,2.738942568,2.736815473,0.110877822,0.109744104,25.25294084,25.12782351,0.364190343,0.360053032,45.54727016,45.72221885,19.710362,19.81421709,1.172764154,1.158299692,1.30728213,1.277811579,49.58977247,46.39864549,0.039672103,24.13509194,17.20354472
Acacia,-37.5,145.02,coarse,pasture,Human,senesced,0.00515,0.030171356,-5.268758564,-3.500862282,0.469089128,2.738942568,2.736815473,0.110877822,0.109744104,25.25294084,25.12782351,0.364190343,0.360053032,45.54727016,45.72221885,19.710362,19.81421709,1.172764154,1.158299692,1.30728213,1.277811579,49.58977247,46.39864549,0.039672103,24.13509194,17.20354472
Acacia,-37.45,145.02,coarse,pasture,Human,senesced,0.0045,0.027312319,-5.403677882,-3.600417433,0.508285953,2.738942568,2.736815473,0.110877822,0.109744104,25.25294084,25.12782351,0.364190343,0.360053032,45.54727016,45.72221885,19.710362,19.81421709,1.172764154,1.158299692,1.30728213,1.277811579,49.58977247,46.39864549,0.039672103,24.13509194,17.20354472
Acacia,-37.45,145.02,coarse,pasture,Human,green,0.00795,0.027312319,-4.83458335,-3.600417433,0.508285953,2.738942568,2.736815473,0.110877822,0.109744104,25.25294084,25.12782351,0.364190343,0.360053032,45.54727016,45.72221885,19.710362,19.81421709,1.172764154,1.158299692,1.30728213,1.277811579,49.58977247,46.39864549,0.039672103,24.13509194,17.20354472
Acacia,-37.18,144.46,coarse,old growth forest,Natural,green ,0.0036,0.028800646,-5.626821434,-3.547357462,1.097537521,2.738942568,2.736815473,0.110877822,0.109744104,25.25294084,25.12782351,0.364190343,0.360053032,45.54727016,45.72221885,19.710362,19.81421709,1.172764154,1.158299692,1.30728213,1.277811579,49.58977247,46.39864549,0.039672103,24.13509194,17.20354472
Acacia,-37.45,145.02,coarse,secondary forest,Natural,green,0.004425,0.027312319,-5.420485001,-3.600417433,0.508285953,2.738942568,2.736815473,0.110877822,0.109744104,25.25294084,25.12782351,0.364190343,0.360053032,45.54727016,45.72221885,19.710362,19.81421709,1.172764154,1.158299692,1.30728213,1.277811579,49.58977247,46.39864549,0.039672103,24.13509194,17.20354472
Acacia,-37.5,145.02,coarse,secondary forest,Natural,green,0.016675,0.030171356,-4.093844687,-3.500862282,0.469089128,2.738942568,2.736815473,0.110877822,0.109744104,25.25294084,25.12782351,0.364190343,0.360053032,45.54727016,45.72221885,19.710362,19.81421709,1.172764154,1.158299692,1.30728213,1.277811579,49.58977247,46.39864549,0.039672103,24.13509194,17.20354472
Acacia,-37.5,145.02,coarse,secondary forest,Natural,senesced,0.007,0.030171356,-4.96184513,-3.500862282,0.469089128,2.738942568,2.736815473,0.110877822,0.109744104,25.25294084,25.12782351,0.364190343,0.360053032,45.54727016,45.72221885,19.710362,19.81421709,1.172764154,1.158299692,1.30728213,1.277811579,49.58977247,46.39864549,0.039672103,24.13509194,17.20354472
Acacia,-37.45,145.02,coarse,secondary forest,Natural,senesced,0.00285,0.027312319,-5.860436285,-3.600417433,0.508285953,2.738942568,2.736815473,0.110877822,0.109744104,25.25294084,25.12782351,0.364190343,0.360053032,45.54727016,45.72221885,19.710362,19.81421709,1.172764154,1.158299692,1.30728213,1.277811579,49.58977247,46.39864549,0.039672103,24.13509194,17.20354472
Acer,35.0435,-83.2002,coarse,agricultural,Human,senesced,0.0121,0.011382027,-4.414549826,-4.475719747,2.736210705,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,35.0427,-83.2514,coarse,agricultural,Human,senesced,0.0138,0.013967486,-4.283086687,-4.271023079,2.766000437,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,35.0249,-83.2314,coarse,agricultural,Human,senesced,0.0093,0.012683313,-4.677740879,-4.367468086,2.739762586,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,35.0003,-83.2524,coarse,agricultural,Human,senesced,0.0121,0.011501786,-4.414549826,-4.465252951,2.732821358,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,35.1219,-83.1603,coarse,agricultural,Human,senesced,0.018,0.007385134,-4.017383521,-4.908286218,2.777243977,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,35.0701,-83.2514,coarse,agricultural,Human,senesced,0.0115,0.013620067,-4.465408244,-4.296211059,2.787959733,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,34.58,-83.233,coarse,agricultural,Human,senesced,0.014,0.012154463,-4.268697949,-4.410058852,2.399418211,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,35.1606,-83.2324,coarse,agricultural,Human,senesced,0.0083,0.015356448,-4.791499764,-4.176219828,2.850169453,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,35.0543,-83.2304,coarse,agricultural,Human,senesced,0.0053,0.013823903,-5.240048458,-4.281356084,2.762769231,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,33.45,-84.23,coarse,agricultural,Human,senesced,0.0465,0.010024344,-3.068302966,-4.602738744,2.388515329,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,43.32,-70.27,coarse,mixed (ag/urb),Human,senesced,0.017817241,0.012429992,-4.027588674,-4.387643017,1.241879646,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,33.45,-84.23,coarse,mixed (ag/urb),Human,senesced,0.0173,0.010024344,-4.057048777,-4.602738744,2.388515329,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,39.1504,-76.4272,coarse,urban,Human,senesced,0.0161,0.019695375,-4.128936007,-3.927371442,0.286235827,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,33.45,-84.23,coarse,urban,Human,senesced,0.0474,0.010024344,-3.04913305,-4.602738744,2.388515329,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,32.55,-87.27,coarse,forest,Natural,senesced,0.004,0.016642223,-5.521460918,-4.095812259,2.419483465,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,33.02,-87,coarse,forest,Natural,senesced,0.014,0.010415568,-4.268697949,-4.564453669,2.924822119,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,45.44,-64.12,coarse,forest - unspecified,Natural,senesced,0.0089,0.010814383,-4.721704002,-4.526878272,0.279370111,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,39.25,-77.25,coarse,forest - unspecified,Natural,unknown,0.02155,0.038907938,-3.837379462,-3.246556987,0.491870755,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,43.29,141.24,coarse,forest - unspecified,Natural,green,0.0345,0.031415685,-3.366795955,-3.460447988,0.316442162,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,35,83.3,coarse,forest - unspecified,Natural,senesced,0.0058,0.007478102,-5.149897361,-4.895776263,22.63391312,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,43.23,141.23,coarse,forest - unspecified,Natural,green,0.0707,0.040066404,-2.649309706,-3.217217101,0.259254589,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,41.4606,-73.5609,coarse,forest - unspecified,Natural,senesced,0.0284,0.013624664,-3.561366134,-4.295873599,1.579104583,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
Acer,38.56,-79.58,coarse,forest - unspecified,Natural,senesced,0.00555,0.008100826,-5.193957351,-4.815789247,1.610124669,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
