partnerid,country,stream,latitude,longitude,chnl_width_up,chnl_width_down,water_depth_up,water_depth_down,deploy_time,biome,biome_short
AAKO,TH,1,17.7863778,97.9964361,6.3,4.4,13,10,23,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
AAKO,TH,2,17.7846028,97.9966417,24.8,28.6,29,28,23,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
AAKO,TH,3,17.7543,98.0148778,2.8,1.9,9,11,23,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
AAKO,TH,4,17.7048083,98.0343694,8,7.5,26,21,23,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
AAUS,US,1,43.42,-73.72,5.23,4.32,10.16,17.78,28,Temperate Broadleaf & Mixed Forests,temp_broad
AAUS,US,2,43.59,-73.64,5.26,6.88,27.94,16.51,28,Temperate Broadleaf & Mixed Forests,temp_broad
AAUS,US,3,43.76,-73.46,3.56,4.72,7.62,10.16,27,Temperate Broadleaf & Mixed Forests,temp_broad
AAUS,US,4,43.64,-73.51,2.01,2.13,11.43,15.24,27,Temperate Broadleaf & Mixed Forests,temp_broad
AB,CH,1,46.4413889,8.5269444,2.9,3.8,10.5,20,35,Temperate Conifer Forests,temp_conif
AB,CH,2,46.4559722,8.5140278,3.55,5.1,18,18,35,Temperate Conifer Forests,temp_conif
AB,CH,3,46.4519444,8.5288889,2.1,1.85,13,8,35,Temperate Conifer Forests,temp_conif
AB,CH,4,46.4469444,8.5383333,3.5,5.8,10,7,35,Temperate Conifer Forests,temp_conif
ACE,EC,1,-0.677893,-77.74234997,3,1.3,30,5,13,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
ACE,EC,2,-0.681425,-77.74147221,1.48,0.8,21,3,13,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
ACE,EC,3,-0.683188,-77.73934565,1.7,1.13,22,18,13,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
ACE,EC,4,-0.68382,-77.73983077,5.11,1.82,28,17,13,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
AD,CA,1,45.3064972,-71.9349583,1.8,1.6,9.5,10,35,Temperate Broadleaf & Mixed Forests,temp_broad
AD,CA,2,45.5941389,-72.1447944,6.3,4,17.8,27.4,35,Temperate Broadleaf & Mixed Forests,temp_broad
AD,CA,3,45.3725778,-71.209975,14,17.5,21.6,13.3,35,Temperate Broadleaf & Mixed Forests,temp_broad
AD,CA,4,45.5448611,-73.1571667,5,3.4,6.4,13.3,35,Temperate Broadleaf & Mixed Forests,temp_broad
AF,US,1,42.4411111,-76.4491667,3.55,3.2,14,16,29,Temperate Broadleaf & Mixed Forests,temp_broad
AF,US,2,42.385,-76.5530556,4.3,5.1,19,12,29,Temperate Broadleaf & Mixed Forests,temp_broad
AF,US,3,42.3422222,-76.2438889,3.3,3.45,14,12,29,Temperate Broadleaf & Mixed Forests,temp_broad
AF,US,4,42.4219444,-76.33,4.6,5.55,15,13,29,Temperate Broadleaf & Mixed Forests,temp_broad
AFB,NO,1,69.659851,18.555845,4.5,5.5,48,24,35,Tundra,tund
AFB,NO,2,69.670212,18.623302,2.3,2.5,22,19,35,Tundra,tund
AFB,NO,3,69.767959,18.816131,2.8,2.9,24,28,35,Tundra,tund
AFB,NO,4,69.741461,18.878004,2.6,3.3,28,24,35,Tundra,tund
AG,IE,1,53.2077667,-6.2933667,3.6,2.4,50,50,44,Temperate Broadleaf & Mixed Forests,temp_broad
AG,IE,2,53.16255,-6.3002,1.3,1.1,80,80,44,Temperate Broadleaf & Mixed Forests,temp_broad
AG,IE,3,53.1290167,-6.2944333,4,2.7,50,50,44,Temperate Broadleaf & Mixed Forests,temp_broad
AK,CA,1,44.039084,-78.57832,2.44,1.98,30.48,22.86,28,Temperate Broadleaf & Mixed Forests,temp_broad
AK,CA,2,44.01781,-78.685356,2.67,3.76,12.7,7.62,28,Temperate Broadleaf & Mixed Forests,temp_broad
AK,CA,3,44.010698,-78.781537,4.62,5.03,12.7,19.03,28,Temperate Broadleaf & Mixed Forests,temp_broad
AK,CA,4,43.999637,-79.067008,4.04,6.35,8.89,5.08,28,Temperate Broadleaf & Mixed Forests,temp_broad
