,str.part,biome_short,Stream.index,k
429,AAKO 1,trop_wet,1,0.156354404
430,AAKO 2,trop_wet,2,0.039446576
431,AAKO 3,trop_wet,3,0.085120041
432,AAKO 4,trop_wet,4,0.084703374
88,AAUS 1,temp_broad,5,0.051368712
89,AAUS 2,temp_broad,6,0.006221012
90,AAUS 3,temp_broad,7,0.013775301
91,AAUS 4,temp_broad,8,0.031109588
320,AB 1,temp_conif,9,0.010121506
321,AB 2,temp_conif,10,0.005946351
322,AB 3,temp_conif,11,0.002434373
323,AB 4,temp_conif,12,0.001942694
433,ACE 1,trop_wet,13,0.046824637
434,ACE 2,trop_wet,14,0.090923089
435,ACE 3,trop_wet,15,0.09157489
436,ACE 4,trop_wet,16,0.109705557
92,AD 1,temp_broad,17,0.029802246
93,AD 2,temp_broad,18,0.004127207
94,AD 3,temp_broad,19,0.030395776
95,AD 4,temp_broad,20,0.01674286
96,AF 1,temp_broad,21,0.062495137
97,AF 2,temp_broad,22,0.017194334
98,AF 3,temp_broad,23,0.071580361
99,AF 4,temp_broad,24,0.029310983
501,AFB 1,tund,25,0.010084163
502,AFB 2,tund,26,0.009189269
503,AFB 3,tund,27,0.01064071
504,AFB 4,tund,28,0.008142751
100,AG 1,temp_broad,29,0.025173351
101,AG 2,temp_broad,30,0.022292568
102,AG 3,temp_broad,31,0.012166831
103,AK 1,temp_broad,32,0.023985359
104,AK 2,temp_broad,33,0.037335078
105,AK 3,temp_broad,34,0.060973709
106,AK 4,temp_broad,35,0.042214089
437,AL 1,trop_wet,36,0.080937821
438,AL 2,trop_wet,37,0.125542894
439,AL 3,trop_wet,38,0.124025173
1,AM 1,desert,39,0.002980557
2,AM 2,desert,40,0.009716157
3,AM 3,desert,41,0.017566859
4,AM 4,desert,42,0.002487196
107,AMYM 1,temp_broad,43,0.02967924
108,AMYM 2,temp_broad,44,0.106310433
109,AMYM 3,temp_broad,45,0.018172825
110,AMYM 4,temp_broad,46,0.004598229
10,ANCA 1,mediter,47,0.009888743
11,ANCA 2,mediter,48,0.018782355
12,ANCA 3,mediter,49,0.028720636
505,ANCA 5,tund,50,0.003665251
506,ANCA 6,tund,51,0.003229092
324,AP 1,temp_conif,52,0.048135632
325,AP 2,temp_conif,53,0.005443338
13,AR 1,mediter,54,0.00422555
14,AR 2,mediter,55,0.005183342
15,AR 3,mediter,56,0.004337939
16,AR 4,mediter,57,0.024530794
17,AREL 1,mediter,58,0.012990388
18,AREL 2,mediter,59,0.002874958
19,AREL 3,mediter,60,0.002987847
20,AREL 4,mediter,61,0.00523812
111,AS 1,temp_broad,62,0.020824447
112,AS 2,temp_broad,63,0.017563064
