"","Genus","N_Leaf_Mn","N_Leaf_Med","P_Leaf_Mn","P_Leaf_Med","NtoP_Leaf_Mn","NtoP_Leaf_Med","Thick_Mn","Thick_Med","C_Leaf_Mn","C_Leaf_Med","CtoN_Leaf_Mn","CtoN_Leaf_Med","Ca_Leaf_Mn","Ca_Leaf_Med","N_Litter_Mn","N_Litter_Med","CtoN_Litter_Mn","C_Litter_Mn","P_Litter_Mn","Lignin_Litter_Mn","Cellulose_Litter_Mn"
"1","Acacia",2.738942568,2.736815473,0.110877822,0.109744104,25.25294084,25.12782351,0.364190343,0.360053032,45.54727016,45.72221885,19.710362,19.81421709,1.172764154,1.158299692,1.30728213,1.277811579,49.58977247,46.39864549,0.039672103,24.13509194,17.20354472
"2","Acer",2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307,1.107486111,1.027833333,53.91625,43.93235531,0.227584281,14.94519092,20.51510795
"3","Alnus",2.738034762,2.757721073,0.184034961,0.181013556,14.71345539,14.69238999,0.159339727,0.160189109,48.90260734,49.35445783,24.13156166,17.6572855,1.080566667,1.0887,2.164620833,2.16193125,29.35,48.72347988,0.151454802,12.58922482,10.06701754
"4","Bauhinia",2.499756558,2.467951129,0.173575187,0.178229516,15.93419476,16.07405269,0.197123018,0.197420241,47.93368545,48.07302893,17.02128217,17.07767016,1.21141189,1.21141189,3.15,3.2,9.058103754,51.05,0.106375,14.94519092,18.55055556
"5","Betula",2.608025338,2.209071068,0.175475926,0.171295406,13.72305019,13.61583729,0.170439535,0.167087914,48.15110111,48.11426626,29.18972882,29.10473459,1.035514286,1.011214286,1.093036973,1.024082532,59.88,51.26493489,0.111225969,20.66257754,17.721875
"6","Carya",1.862086209,1.92075604,0.168870914,0.180364756,12.02911181,12.61853639,0.097215717,0.097536946,47.47206803,47.47206704,57.95454202,57.95454202,1.575,1.571666667,1.1,1.1,38.5,43.834,0.12,20.04333333,15.06
"7","Cornus",1.867049988,1.872933672,0.203577853,0.19479357,9.235658939,9.189249801,0.160023632,0.161703769,42.94077777,42.9824322,27.56805732,27.53911066,2.3475,2.3475,0.914045313,0.91414375,34.4,44.0887035,0.11418188,5.707978622,17.39166667
"8","Corylus",2.096571375,2.135665385,0.189992147,0.189159963,10.73529376,10.97019536,0.140528571,0.148,40.52843735,40.71853708,18.54401888,17.48473755,2.03,2.03,1.203537984,1.149,36,44.79267554,0.075,19.81933333,21.2
"9","Eucalyptus",1.311721207,1.301313497,0.086637645,0.085020747,17.28933255,17.43592238,0.457750266,0.459156481,47.29898132,47.56572313,39.0366759,40.24372539,0.7426,0.7426,0.52927834,0.52927834,93.58390105,54.6,0.124333333,19.2,14.18999706
"10","Fagus",2.673199446,2.747066667,0.164376257,0.16096973,16.33481269,16.5862904,0.118977296,0.120337435,48.38016066,48.22605086,19.56185707,18.90028508,0.793166667,0.787833333,0.885,0.86,54.62222222,45.88603831,0.071378571,19.08251048,30.53305026
